조회연월,시군구코드,시군구명,법정동,아파트명,전용면적(㎡),층,거래금액(만원),거래일자,건축년도,도로명,지번,기준금리,주담대금리,nearest_station,distance_to_station_m,walk_minutes_est,CPI,주택매매가격지수,주택전세가격지수,아파트매매가격지수,본원통화구성내역,경제활동인구,lat,lng
202501,11215,서울특별시 광진구,구의동,구의센트럴푸르지오,59.90,6,88000,20250109,2020,구의로,123-45,3.25,4.5,구의역,290,4,110.5,105.3,102.1,108.7,2500000,28000000,37.5461,127.0855
202501,11545,서울특별시 금천구,가산동,가산디지털단지역센트럴푸르지오,74.92,11,92000,20250116,2017,디지털로,234-56,3.25,4.5,가산디지털단지역,320,4,110.5,105.3,102.1,108.7,2500000,28000000,37.4813,126.8822
202501,11545,서울특별시 금천구,독산동,독산자이,84.98,9,98000,20250113,2019,시흥대로,345-67,3.25,4.5,독산역,410,6,110.5,105.3,102.1,108.7,2500000,28000000,37.4664,126.8968
202501,11500,서울특별시 강서구,화곡동,화곡자이아파트,59.87,4,75000,20250106,2018,화곡로,456-78,3.25,4.5,화곡역,230,3,110.5,105.3,102.1,108.7,2500000,28000000,37.5414,126.8463
202501,11500,서울특별시 강서구,등촌동,등촌래미안,84.90,13,105000,20250119,2016,등촌로,567-89,3.25,4.5,등촌역,480,7,110.5,105.3,102.1,108.7,2500000,28000000,37.5505,126.8565
202501,11620,서울특별시 관악구,봉천동,봉천래미안,74.85,8,82000,20250104,2015,봉천로,678-90,3.25,4.5,봉천역,340,5,110.5,105.3,102.1,108.7,2500000,28000000,37.4819,126.9514
202501,11620,서울특별시 관악구,신림동,신림푸르지오,59.95,12,79000,20250117,2020,신림로,789-01,3.25,4.5,신림역,270,4,110.5,105.3,102.1,108.7,2500000,28000000,37.4844,126.9297
202501,11530,서울특별시 구로구,신도림동,신도림센트럴자이,84.96,17,115000,20250102,2019,경인로,890-12,3.25,4.5,신도림역,190,3,110.5,105.3,102.1,108.7,2500000,28000000,37.5088,126.8906
202501,11530,서울특별시 구로구,구로동,구로힐스테이트,74.89,10,96000,20250115,2017,구로중앙로,901-23,3.25,4.5,구로역,360,5,110.5,105.3,102.1,108.7,2500000,28000000,37.4955,126.8872
202501,11305,서울특별시 도봉구,창동,창동신동아파밀리에,59.92,6,68000,20250110,2014,도봉로,012-34,3.25,4.5,창동역,310,4,110.5,105.3,102.1,108.7,2500000,28000000,37.6536,127.0472
202501,11305,서울특별시 도봉구,방학동,방학래미안,84.88,14,89000,20250108,2018,노해로,123-45,3.25,4.5,방학역,440,6,110.5,105.3,102.1,108.7,2500000,28000000,37.6638,127.0365
202501,11230,서울특별시 동대문구,이문동,이문푸르지오,74.91,9,87000,20250112,2016,이문로,234-56,3.25,4.5,외대앞역,380,5,110.5,105.3,102.1,108.7,2500000,28000000,37.5899,127.0601
202501,11230,서울특별시 동대문구,회기동,회기래미안,59.86,7,76000,20250105,2019,회기로,345-67,3.25,4.5,회기역,250,3,110.5,105.3,102.1,108.7,2500000,28000000,37.5892,127.0578
202501,11320,서울특별시 노원구,상계동,상계래미안,84.93,15,94000,20250118,2017,동일로,456-78,3.25,4.5,노원역,490,7,110.5,105.3,102.1,108.7,2500000,28000000,37.6554,127.0617
202501,11320,서울특별시 노원구,중계동,중계센트럴푸르지오,74.87,11,86000,20250114,2020,중계로,567-89,3.25,4.5,중계역,330,5,110.5,105.3,102.1,108.7,2500000,28000000,37.6394,127.0735
202501,11380,서울특별시 은평구,응암동,응암래미안,59.89,5,72000,20250107,2015,은평로,678-90,3.25,4.5,응암역,280,4,110.5,105.3,102.1,108.7,2500000,28000000,37.6025,126.9182
202501,11380,서울특별시 은평구,불광동,불광자이,84.94,13,97000,20250111,2018,불광로,789-01,3.25,4.5,불광역,400,6,110.5,105.3,102.1,108.7,2500000,28000000,37.6104,126.9296
202501,11110,서울특별시 종로구,평창동,평창동래미안,114.52,16,210000,20250109,2017,평창문화로,890-12,3.25,4.5,경복궁역,850,11,110.5,105.3,102.1,108.7,2500000,28000000,37.6084,126.9699
202501,11110,서울특별시 종로구,혜화동,혜화푸르지오,84.91,10,145000,20250116,2019,창경궁로,901-23,3.25,4.5,혜화역,420,6,110.5,105.3,102.1,108.7,2500000,28000000,37.5829,126.9992
202501,11140,서울특별시 중구,신당동,신당자이,74.88,8,118000,20250113,2018,다산로,012-34,3.25,4.5,신당역,370,5,110.5,105.3,102.1,108.7,2500000,28000000,37.5652,127.0174
202501,11140,서울특별시 중구,황학동,황학센트럴푸르지오,59.93,6,102000,20250106,2020,마장로,123-45,3.25,4.5,신당역,510,7,110.5,105.3,102.1,108.7,2500000,28000000,37.5667,127.0198
202501,11260,서울특별시 중랑구,면목동,면목래미안,84.89,12,91000,20250119,2016,면목로,234-56,3.25,4.5,면목역,310,4,110.5,105.3,102.1,108.7,2500000,28000000,37.5851,127.0898
202501,11260,서울특별시 중랑구,상봉동,상봉센트럴자이,74.90,9,88000,20250104,2019,상봉로,345-67,3.25,4.5,상봉역,260,4,110.5,105.3,102.1,108.7,2500000,28000000,37.5962,127.0866
202501,11710,서울특별시 송파구,잠실동,잠실엘스,134.80,22,380000,20250117,2021,올림픽로,456-78,3.25,4.5,잠실역,280,4,110.5,105.3,102.1,108.7,2500000,28000000,37.5133,127.0985
202501,11710,서울특별시 송파구,문정동,문정래미안,84.92,16,155000,20250102,2018,문정로,567-89,3.25,4.5,문정역,390,5,110.5,105.3,102.1,108.7,2500000,28000000,37.4863,127.1233
202501,11200,서울특별시 성동구,성수동,성수푸르지오,74.86,11,132000,20250115,2020,성수이로,678-90,3.25,4.5,성수역,310,4,110.5,105.3,102.1,108.7,2500000,28000000,37.5445,127.0557
202501,11200,서울특별시 성동구,행당동,행당래미안,59.88,7,105000,20250110,2017,행당로,789-01,3.25,4.5,왕십리역,440,6,110.5,105.3,102.1,108.7,2500000,28000000,37.5618,127.0366
202501,11290,서울특별시 성북구,길음동,길음뉴타운,84.95,14,115000,20250108,2019,동소문로,890-12,3.25,4.5,길음역,350,5,110.5,105.3,102.1,108.7,2500000,28000000,37.6042,127.0255
202501,11290,서울특별시 성북구,정릉동,정릉자이,74.89,10,93000,20250112,2016,정릉로,901-23,3.25,4.5,성신여대입구역,470,6,110.5,105.3,102.1,108.7,2500000,28000000,37.6099,127.0103
202501,11410,서울특별시 서대문구,연희동,연희래미안,84.91,13,128000,20250105,2018,연희로,012-34,3.25,4.5,홍제역,520,7,110.5,105.3,102.1,108.7,2500000,28000000,37.5684,126.9336
202501,11410,서울특별시 서대문구,남가좌동,남가좌센트럴푸르지오,59.90,8,89000,20250118,2020,거북골로,123-45,3.25,4.5,독립문역,380,5,110.5,105.3,102.1,108.7,2500000,28000000,37.5798,126.9486
202501,11470,서울특별시 양천구,목동,목동힐스테이트,114.51,19,235000,20250114,2019,목동서로,234-56,3.25,4.5,목동역,410,6,110.5,105.3,102.1,108.7,2500000,28000000,37.5262,126.8747
202501,11470,서울특별시 양천구,신정동,신정센트럴자이,84.93,15,125000,20250107,2017,신정로,345-67,3.25,4.5,신정역,300,4,110.5,105.3,102.1,108.7,2500000,28000000,37.5248,126.8558
202501,11560,서울특별시 영등포구,여의도동,여의도자이,134.82,25,420000,20250111,2022,여의대로,456-78,3.25,4.5,여의도역,240,3,110.5,105.3,102.1,108.7,2500000,28000000,37.5215,126.9245
202501,11560,서울특별시 영등포구,신길동,신길래미안,74.88,9,96000,20250109,2016,신길로,567-89,3.25,4.5,신길역,360,5,110.5,105.3,102.1,108.7,2500000,28000000,37.5088,126.9145
202501,11170,서울특별시 용산구,이촌동,이촌한강자이,114.50,18,280000,20250116,2020,이촌로,678-90,3.25,4.5,이촌역,320,4,110.5,105.3,102.1,108.7,2500000,28000000,37.5231,126.9673
202501,11170,서울특별시 용산구,한남동,한남더힐,194.30,15,650000,20250113,2011,한남대로,789-01,3.25,4.5,한강진역,580,8,110.5,105.3,102.1,108.7,2500000,28000000,37.5340,127.0029
202501,11440,서울특별시 마포구,상암동,상암월드컵파크,84.92,16,145000,20250106,2019,월드컵로,890-12,3.25,4.5,디지털미디어시티역,450,6,110.5,105.3,102.1,108.7,2500000,28000000,37.5789,126.8897
202501,11440,서울특별시 마포구,공덕동,공덕래미안,74.87,11,138000,20250119,2018,마포대로,901-23,3.25,4.5,공덕역,280,4,110.5,105.3,102.1,108.7,2500000,28000000,37.5445,126.9516
