시군구명,법정동,아파트명,도로명,지번
성북구,길음동,길음뉴타운4단지(e편한세상),길음로,1281
성북구,석관동,래미안아트리치,돌곶이로8길,410
광진구,광장동,현대3,아차산로70길,484
성북구,정릉동,정릉힐스테이트1차,북악산로,1030
성북구,길음동,길음동동부센트레빌(1278-0),숭인로2길,1278
성북구,돈암동,돈암현대아파트,정릉로,1
노원구,상계동,상계주공9(고층),노원로,670
노원구,월계동,미성,마들로,13
노원구,상계동,상계주공6(고층),노해로,720
노원구,상계동,상계주공4(고층),동일로214길,749-5
노원구,상계동,상계주공7(고층),동일로,691
노원구,공릉동,풍림아파트A,섬밭로,725
노원구,상계동,상계주공2(고층),동일로215길,740
노원구,월계동,주공2,초안산로1길,556
노원구,상계동,상계불암대림,덕릉로94길,1289
노원구,중계동,중계무지개,동일로208길,512
노원구,공릉동,삼익포레스트아파트,공릉로46길,737
성동구,성수동2가,현대I-PARK,성수이로,834
성동구,금호동1가,벽산,금호로,633
노원구,중계동,양지마을(대림)2,덕릉로73길,588
노원구,하계동,하계2현대,노원로18길,288
성동구,하왕십리동,왕십리풍림아이원,난계로,1061
노원구,상계동,불암현대,덕릉로118길,1293
노원구,중계동,한화꿈에그린,중계로8길,598
광진구,구의동,해성아파트,자양로46길,47-23
강동구,암사동,삼성광나루,상암로3길,508
성북구,하월곡동,월곡두산위브,오패산로,222
동대문구,전농동,전농우성,사가정로,6
동대문구,답십리동,청계푸르지오시티,천호대로,497-23
중랑구,면목동,용마산모아엘가파크포레,용마산로84길,1549
중랑구,묵동,이편한세상화랑대,숙선옹주로,396
중랑구,상봉동,동성네스트빌1동,신내로7다길,32-1
중랑구,상봉동,태영데시앙1,상봉중앙로8길,497
중랑구,망우동,중랑숲리가,망우로75길,583
중랑구,면목동,풍림,망우로26길,1514
동대문구,전농동,동아,서울시립대로,645-2
동대문구,전농동,전농SK,사가정로,10
동대문구,답십리동,래미안위브,답십리로,1003
동대문구,장안동,래미안장안2차,장안벚꽃로,329-3
동대문구,답십리동,답십리파크자이,답십리로56길,1014
동대문구,답십리동,청계한신휴플러스,서울시립대로,1002
동대문구,용두동,롯데캐슬피렌체,정릉천동로,790
성북구,동소문동7가,브라운스톤동선,아리랑로5길,120
성북구,장위동,꿈의숲아이파크,돌곶이로40길,323
성북구,정릉동,정릉2차대주피오레,아리랑로19길,1032
성북구,장위동,래미안포레카운티,장월로,322
광진구,광장동,극동2,아차산로,218-1
성동구,옥수동,래미안 옥수 리버젠,매봉길,561
동대문구,답십리동,우성그린,답십리로59길,989-1
성북구,돈암동,이수브라운스톤돈암,북악산로,636
성북구,하월곡동,삼전솔하임3차,동소문로46길,88-510
성북구,석관동,두산,화랑로48길,10
동대문구,용두동,래미안엘리니티,한빛로,796
성북구,장위동,꿈의숲대명루첸아파트,월계로36길,317
성북구,길음동,길음뉴타운1단지(래미안길음1차),길음로9길,1279
성북구,정릉동,정릉e-편한세상,솔샘로24길,1028
동대문구,이문동,신이문금호어울림,신이문로,428
노원구,공릉동,현대성우아파트,공릉로27길,741
강동구,암사동,프라이어팰리스,고덕로,413
성동구,송정동,건영,동일로,90
은평구,응암동,녹번역e편한세상캐슬,은평로,769
성동구,하왕십리동,한신무학,왕십리로31나길,990
은평구,진관동,상림마을7단지아이파크(702~705동)BL1-4,진관4로,6
은평구,녹번동,북한산푸르지오,통일로,281
은평구,수색동,DMCSKVIEW,수색로,418
은평구,응암동,e편한세상백련산,백련산로,771
성동구,하왕십리동,금호베스트빌,난계로,1052
은평구,증산동,DMC센트럴자이(1단지),수색로,258
은평구,구산동,브라운스톤구산,갈현로17길,159-10
강동구,성내동,에스케이허브진,천호대로,194
은평구,역촌동,예청,연서로,36-14
은평구,신사동,신사씨티,가좌로,297
강동구,둔촌동,동아,진황도로61길,94-16
성동구,하왕십리동,텐즈힐(1단지),무학로,1066
은평구,녹번동,대림아파트(276),통일로,276
은평구,응암동,백련산힐스테이트1차,백련산로2길,759
은평구,응암동,백련산힐스테이트2차,백련산로,760
은평구,신사동,미성,증산로15길,140-1
강동구,명일동,현대(명일),양재대로134길,251-1
강동구,길동,삼익파크맨션,명일로,53
강동구,고덕동,고덕센트럴푸르지오,고덕로,210-1
강동구,암사동,롯데캐슬퍼스트,고덕로,414-2
강동구,명일동,래미안솔베뉴,양재대로,359
성동구,하왕십리동,센트라스,왕십리로,1070
은평구,응암동,힐스테이트녹번역,은평로,770
성동구,금호동3가,금호한신,금호산길,1662
강동구,둔촌동,현대4,진황도로61길,89
성동구,금호동1가,금호삼성래미안,독서당로,1500
성동구,금호동2가,래미안하이리버,금호로,1217
은평구,신사동,응암역효성해링턴플레이스,가좌로,372
강동구,성내동,성내1차e-편한세상,천호대로168길,598
성동구,응봉동,금호현대,독서당로,98
은평구,갈현동,갈현건영,갈현로45길,541-1
은평구,갈현동,우남,서오릉로,540
강동구,성내동,성안마을청구,풍성로,295
성동구,하왕십리동,극동미라주,난계로,1058
노원구,월계동,한진한화그랑빌,마들로,18
강동구,둔촌동,둔촌푸르지오,명일로,630
노원구,중계동,중계그린1단지,섬밭로,502-1
노원구,상계동,동양엔파트,상계로5길,1305
성동구,성수동1가,뚝섬현대,상원길,13-157
노원구,중계동,양지마을(대림)1,덕릉로71길,587
노원구,상계동,상계대림,상계로,172
노원구,공릉동,태강아파트(아이파크),공릉로34길,81
노원구,상계동,희락,수락산로,1280
성동구,금호동1가,이편한세상금호파크힐스,금호로,1823
강동구,천호동,우성,구천면로,19-1
강동구,강일동,강동리버스트8단지,아리수로93나길,66
성동구,행당동,서울숲리버뷰자이,고산자로2길,380
동대문구,용두동,신동아,무학로26길,779
강남구,역삼동,한화진넥스빌,언주로86길,706-20
영등포구,당산동1가,신동아파밀리에,영신로33길,457
관악구,봉천동,봉천우성,관악로30길,1706
관악구,봉천동,벽산블루밍,은천로,1718
동작구,본동,한신휴플러스,매봉로,487
영등포구,양평동5가,양평한신,양평로24길,76
영등포구,신길동,래미안영등포프레비뉴,가마산로,4945
동대문구,용두동,래미안 허브리츠,정릉천동로,792
관악구,신림동,푸리마타운,관천로,1639-51
성동구,금호동4가,브라운스톤2차,동호로,1550
성동구,마장동,현대,살곶이길,818
동대문구,전농동,동대문롯데캐슬노블레스,답십리로23길,695
성동구,옥수동,풍림아이원,뚝섬로,60
광진구,구의동,래미안파크스위트,광나루로,668
중구,신당동,약수하이츠,동호로10길,842
동작구,본동,신동아,매봉로,481
광진구,광장동,광나루현대,아차산로76길,567
광진구,자양동,로얄동아,뚝섬로52마길,644
광진구,구의동,삼성쉐르빌,구의강변로,199-18
동작구,사당동,이수역리가,사당로27길,1157
성동구,성수동2가,성수1차대우아파트,동일로,279-50
서초구,반포동,래미안원베일리,반포대로,1
성동구,옥수동,옥수파크힐스101동~116동,매봉길,528
동작구,본동,삼성래미안,매봉로,492
중구,황학동,황학아크로타워,퇴계로,2523
동작구,상도동,래미안상도3차,상도로53길,431
성동구,응봉동,신동아,독서당로,275
동작구,노량진동,신동아리버파크,만양로,325
성동구,행당동,서울숲더샵,왕십리로,377
동대문구,휘경동,휘경센트레빌,외대역동로,367
양천구,신정동,학마을1단지,신정로14길,1293
노원구,상계동,상계주공11(고층),동일로227길,652
노원구,중계동,청암3단지(582),덕릉로86길,582
노원구,공릉동,태릉해링턴플레이스,공릉로34길,758
마포구,성산동,성산시영(선경),월드컵북로,446
노원구,월계동,미륭,마들로,13
양천구,신정동,동일하이빌2단지,신정로11길,1311
양천구,신정동,신정6현대,신정로,743-2
노원구,중계동,건영3,노원로22길,360-15
동대문구,답십리동,답십리대우,답십리로41길,111
노원구,상계동,상계주공4(고층),동일로,749-5
양천구,신정동,청우,국회대로,881-6
노원구,공릉동,동신아파트,공릉로,745
강서구,방화동,삼미,초원로,585-4
노원구,공릉동,대동아파트2,동일로195길,380-1
강서구,방화동,방화그린,방화대로48길,839
마포구,신공덕동,신공덕1차삼성래미안1아파트,백범로37길,155
마포구,망원동,마포한강아이파크,희우정로,521
마포구,염리동,마포자이더센트리지(102동~112동),숭문길,533
은평구,갈현동,동광갈현베르빌,연서로,465-12
서대문구,홍은동,HDX휴팰리스,통일로,465
용산구,문배동,아크로타워,백범로90길,24-21
용산구,이촌동,한가람,이촌로65가길,404
용산구,한강로3가,우림필유,이촌로29길,91
은평구,응암동,위산일리온시티,은평로,110-1
은평구,불광동,라이프미성,통일로,248
서대문구,홍제동,인왕궁맨숀,통일로32길,104-6
은평구,대조동,YS홈타운,통일로77길,186-44
은평구,응암동,백련산힐스테이트3차,백련산로,761
강남구,역삼동,역삼푸르지오,언주로,754-1
용산구,한남동,한남아이파크애비뉴,독서당로,828
용산구,이촌동,정우,이촌로54길,302-69
마포구,신수동,현대,토정로,445-5
은평구,갈현동,대경아르체,통일로,550
마포구,신정동,서강GS,창전로,30
은평구,대조동,주주베B,불광로1길,9-31
강서구,염창동,강변한솔솔파크,양천로63길,300
노원구,상계동,비콘드림힐3,상계로1길,1310
성북구,정릉동,정릉우성아파트 101~105동,북악산로,1020
구로구,신도림동,대림2,신도림로,642
구로구,구로동,현대의보아파트,구일로8길,642-33
금천구,시흥동,관악산신도브래뉴,금하로24나길,1017
성북구,길음동,삼부컨비니언,동소문로,1276
성북구,돈암동,한진(609-1),성북로4길,609-1
성북구,길음동,래미안길음센터피스,숭인로,1288
중랑구,망우동,한울네세창,망우로76길,579
중랑구,상봉동,건영캐스빌,상봉중앙로8길,499
중랑구,묵동,묵동자이(1단지),숙선옹주로,164-4
영등포구,신길동,더샵파크프레스티지,가마산로79길,4974
영등포구,양평동3가,월드메르디앙,선유서로,19
영등포구,문래동3가,문래공원한신,문래로20길,77-2
중랑구,신내동,건영2차,신내로7길,785
중랑구,묵동,신내,숙선옹주로,13
중랑구,면목동,사가정센트럴아이파크,동일로92길,1545
성북구,길음동,길음뉴타운2단지푸르지오,길음로,1280
성북구,돈암동,일신건영휴먼빌아파트,아리랑로,524
강서구,가양동,강서한강자이,양천로55길,1500
도봉구,창동,성원상떼빌,마들로16길,743-15
강서구,화곡동,"우장산아이파크,이편한세상",강서로,1159
강서구,화곡동,계명(350-34),강서로17가길,350-34
도봉구,쌍문동,쌍문동LG트윈빌2,도당로,20-4
도봉구,쌍문동,금호1,해등로26길,199-1
강북구,번동,해모로아파트,오현로,139
구로구,항동,항동제일풍경채포레스트,부광로,246
구로구,구로동,구일우성,구일로2길,1259
구로구,신도림동,미성,신도림로11가길,290
강남구,역삼동,경남아너스빌,언주로85길,722
중랑구,묵동,우성,동일로149길,245-64
강동구,고덕동,고덕 아이파크,동남로79길,499
강동구,명일동,한양,동남로71길,54
송파구,가락동,가락(1차)쌍용아파트,동남로,140
강동구,천호동,래미안강동팰리스,천호대로,571
송파구,장지동,위례24단지(꿈에그린),위례광장로,901
강동구,길동,광남벨라스613V,천중로38가길,385-3
종로구,무악동,인왕산2차아이파크,통일로18길,88
중구,만리동2가,서울역센트럴자이,만리재로,273
강남구,대치동,테헤란로대우아이빌(891-6),테헤란로,891-6
강동구,성내동,힐데스하임올림픽파크아파트,강동대로55길,608
강동구,상일동,고덕센트럴IPARK,고덕로80길,513
송파구,석촌동,로쟌뷰,석촌호수로,1-1
강남구,논현동,e-편한세상,봉은사로11길,195-1
송파구,가락동,헬리오시티,송파대로,913
송파구,장지동,힐스테이트송파위례,위례광장로,883
송파구,가락동,가락우성2,중대로12길,120-4
마포구,중동,현대,성암로7길,40-12
구로구,구로동,(780-41),디지털로27라길,780-41
영등포구,문래동4가,문래동삼환,도림로143길,43
구로구,구로동,(779-13),도림로14길,779-13
노원구,중계동,중계그린1단지,동일로207길,502-1
노원구,상계동,상계주공7(고층),상계로1길,691
구로구,구로동,신도림태영타운,새말로,1267
관악구,봉천동,해태보라매타워,보라매로3길,729-32
노원구,상계동,북부현대,동일로237바길,1273
마포구,신공덕동,신공덕래미안2차,만리재로,159
성북구,안암동4가,안암,안암로9가길,23-3
동대문구,장안동,금강아미움,답십리로66길,574
강서구,염창동,삼성한마음,양천로,244-2
노원구,공릉동,신한양아파트,동일로173가길,400-8
노원구,상계동,벽산,한글비석로,173-1
노원구,중계동,상아,섬밭로,505
동대문구,이문동,쌍용,한천로58길,64
중구,신당동,래미안하이베르,퇴계로90길,851
서대문구,홍은동,홍은동벽산,세검정로1길,455
은평구,응암동,아르지움주상복합,응암로,577-7
은평구,수색동,e편한세상 수색 에코포레,은평터널로,415-1
은평구,불광동,북한산현대힐스테이트3차아파트,불광로,641
종로구,사직동,광화문스페이스본(101동~105동),사직로8길,9
은평구,신사동,구암,증산로17길,366
서대문구,영천동,독립문삼호,독립문로,100
강동구,강일동,강일리버파크5단지,아리수로97길,670
양천구,목동,삼익,목동동로12길,933
강서구,등촌동,주공5,공항대로39길,695
구로구,구로동,구로두산,도림로,1265
구로구,구로동,구로두산위브,디지털로31길,1278
관악구,남현동,우림루미아트,남현길,1135
성북구,길음동,길음뉴타운6단지(래미안),길음로,1283
관악구,봉천동,e편한세상서울대입구2단지,청룡16길,1730-1
동대문구,장안동,태솔에버빌,장한로28가길,312-8
영등포구,대림동,영등포자이르네,시흥대로,1132
종로구,숭인동,종로센트레빌,동망산길,2-1
송파구,방이동,이스턴잠실,오금로11길,46-1
도봉구,쌍문동,극동아파트,노해로45길,721
도봉구,쌍문동,브라운스톤쌍문,노해로40길,729
도봉구,쌍문동,현대1,해등로,54
도봉구,방학동,신동아아파트1,방학로,271-1
양천구,목동,현대,목동동로,930
양천구,목동,우성,목동중앙로,200
성북구,하월곡동,월곡래미안루나밸리,월곡로14길,226
영등포구,신길동,삼성,여의대방로,4759
영등포구,신길동,힐스테이트클래시안,신길로28길,4969
동작구,흑석동,흑석동양아파트,서달로1길,328
영등포구,대림동,한솔솔파크,도림천로,1123
강북구,우이동,대우,삼양로149길,342
영등포구,영등포동,순영웰라이빌,영등포로62길,648
송파구,장지동,송파파인타운6단지,충민로6길,847
강북구,번동,주공1단지,한천로105길,242
양천구,목동,애드웰(774-10),목동중앙서로,774-10
도봉구,쌍문동,한양6,시루봉로,59-5
송파구,잠실동,우성4차,백제고분로18길,320
노원구,상계동,상계주공10(고층),노원로,666
강동구,명일동,고덕주공9,상암로,257
강동구,둔촌동,상상프리,천호대로,435-2
중랑구,면목동,두산5,사가정로42길,1522-1
중랑구,면목동,진로,용마산로94길,1517
종로구,창신동,두산,지봉로5길,232
노원구,중계동,염광,덕릉로79길,445
강동구,둔촌동,신성둔촌미소지움1,명일로,546
중랑구,면목동,현대휴온,동일로109가길,1535
노원구,상계동,보람아파트,한글비석로,639
노원구,상계동,상록수1단지,동일로239나길,1296
금천구,시흥동,무지개,시흥대로73길,109-1
중랑구,신내동,신내6대주,신내로19길,650
도봉구,방학동,신동아아파트1,시루봉로,271-1
금천구,시흥동,관악산벽산타운5,금하로,1013
금천구,가산동,두산,가산로,769
금천구,독산동,금천롯데캐슬골드파크1차,벚꽃로,1147
은평구,신사동,현대2,가좌로,355
서대문구,홍제동,홍제센트럴IPARK,통일로,473
서대문구,남가좌동,DMC센트럴아이파크,증가로,388
성동구,금호동4가,브라운스톤금호,매봉길,1507
강서구,내발산동,길성그랑프리텔,강서로46길,730
성동구,성수동1가,쌍용,상원길,706
서초구,방배동,서초이에스에이3차,명달로,1006-1
강서구,화곡동,화곡푸르지오,화곡로13길,1091
중구,신당동,청구e편한세상,청구로,852
강서구,화곡동,대림e편한세상,월정로,361-1
성동구,행당동,행당한진타운,행당로,346
종로구,무악동,인왕산아이파크,통일로18길,60
성동구,응봉동,서울숲리버그린동아아파트,고산자로4길,276
서대문구,북아현동,신촌푸르지오,북아현로1길,1011
서대문구,냉천동,돈의문센트레빌,독립문로14길,261
서초구,반포동,반포미도,서초중앙로29길,60-4
강남구,수서동,신동아,광평로47길,736
강남구,수서동,까치마을,광평로19길,746
강남구,자곡동,강남자곡 힐스테이트,자곡로3길,619
서대문구,남가좌동,DMC파크뷰자이1단지,가재울미래로,385
강남구,대치동,개포우성1,선릉로,503
은평구,역촌동,아그네스풍림아이원,진흥로1길,31-6
은평구,신사동,현대1,은평터널로,359
중구,황학동,롯데캐슬,청계천로,2545
성동구,응봉동,대림강변타운,고산자로,15
동작구,흑석동,해가든,서달로,332
